metric,value,unit,notes
architecture_version,Version 1,,"8 inputs -> 4 output neurons -> ReLU -> 4 INT8 outputs, see docs/architecture.md"
operations_per_inference,32,MACs,"8x4 GEMV = 32 multiply-accumulate ops per inference"
input_width,8,bits,"signed INT8 activations, symmetric quantization, zero-point 0"
weight_width,8,bits,"signed INT8 weights, symmetric quantization, zero-point 0"
product_width,16,bits,"signed INT16 product; worst case (-128)*(-128)=16384, fits with margin to 32767 (test_int16_product_and_int32_accumulator_do_not_overflow)"
accumulator_width,32,bits,"signed INT32 accumulate over 8 terms; worst case 8*16384=131072, fits with wide margin to 2147483647"
output_width,8,bits,"signed INT8, requantized from the INT32 accumulator"
requantize_shift,8,bits,"S=2**8 output scale used by algorithm/generate_vectors.py for full-INT8-range random vectors; shift=0 (pass-through + saturate) used for the small hand-computed cases in algorithm/tests/. Shift is a per-vector-set constant, not yet calibrated from a real dataset."
compute_cycles_parallel4_target,8,cycles,"one input broadcast per cycle to all 4 PEs, each PE does 1 MAC into its local accumulator -> 8 cycles minimum for the parallel-4 schedule"
load_store_overhead_target,2..4,cycles,"estimated FSM overhead (LOAD/STORE) on top of the 8 compute cycles; not yet measured, no RTL exists for Version 1 yet"
latency_target_parallel4_total,10..12,cycles,"compute_cycles_parallel4_target + load_store_overhead_target; sequential-1-MAC variant is Phase 4, not designed yet"
mac_units_expected,4,units,"one MAC/PE per output neuron (Version 1 parallel datapath)"
weights_stored_expected,32,count,"4 PEs x 8 weights each; one PE per output column, not a single shared weight register"
accumulators_expected,4,units,"one INT32 accumulator per output neuron"
fsm_states_expected,4,states,"IDLE -> LOAD -> COMPUTE -> STORE/DONE, see docs/architecture.md"
inference_accuracy,N/A,,"pending a defined dataset; Version 1 vectors (algorithm/generate_vectors.py) are synthetic/deterministic, not a trained model. See docs/research_question.md for what 'acceptable accuracy' will mean once/if a dataset is adopted (Phase 4)."
python_model_status,bit-exact against hand-computed cases,,"8/8 known-answer tests pass, see algorithm/tests/test_reference_model.py; RTL bit-exact comparison against these vectors is Sprint 3, not yet done"
test_vectors_generated,5,count,"seed=1234, see verification/reference/vectors.csv and vectors.hex"
